ID Wedge_name Max_depth young friction radius_diff
128 '60' 0.033 2700000.0 45.5 0.0
129 '60' 0.033 2700000.0 45.75 0.0
130 '60' 0.033 2700000.0 46.0 0.0
131 '60' 0.033 2700000.0 44.0 -0.0001
132 '60' 0.033 2700000.0 44.0 -8.75e-05
133 '60' 0.033 2700000.0 44.0 -7.500000000000001e-05
134 '60' 0.033 2700000.0 44.0 -6.25e-05
135 '60' 0.033 2700000.0 44.0 -5e-05
136 '60' 0.033 2700000.0 44.0 -3.7500000000000003e-05
137 '60' 0.033 2700000.0 44.0 -2.5e-05
138 '60' 0.033 2700000.0 44.0 -1.25e-05
139 '60' 0.033 2700000.0 44.0 1.25e-05
140 '60' 0.033 2700000.0 44.0 2.5e-05
141 '60' 0.033 2700000.0 44.0 3.7500000000000003e-05
142 '60' 0.033 2700000.0 44.0 5e-05
143 '60' 0.033 2700000.0 44.0 6.25e-05
144 '60' 0.033 2700000.0 44.0 7.500000000000001e-05
145 '60' 0.033 2700000.0 44.0 8.75e-05
146 '60' 0.033 2700000.0 44.0 0.0001
147 '75' 0.033 2700000.0 44.0 0.0
148 '75' 0.033 1600000.0 44.0 0.0
149 '75' 0.033 1737500.0 44.0 0.0
150 '75' 0.033 1875000.0 44.0 0.0
151 '75' 0.033 2012500.0 44.0 0.0
152 '75' 0.033 2150000.0 44.0 0.0
153 '75' 0.033 2287500.0 44.0 0.0
154 '75' 0.033 2425000.0 44.0 0.0
155 '75' 0.033 2562500.0 44.0 0.0
156 '75' 0.033 2837500.0 44.0 0.0
157 '75' 0.033 2975000.0 44.0 0.0
158 '75' 0.033 3112500.0 44.0 0.0
159 '75' 0.033 3250000.0 44.0 0.0
