ID Wedge_name Max_depth young friction radius_diff
192 '75' 0.033 2700000.0 44.0 6.25e-05
193 '75' 0.033 2700000.0 44.0 7.500000000000001e-05
194 '75' 0.033 2700000.0 44.0 8.75e-05
195 '75' 0.033 2700000.0 44.0 0.0001
196 '90' 0.033 2700000.0 44.0 0.0
197 '90' 0.033 1600000.0 44.0 0.0
198 '90' 0.033 1737500.0 44.0 0.0
199 '90' 0.033 1875000.0 44.0 0.0
200 '90' 0.033 2012500.0 44.0 0.0
201 '90' 0.033 2150000.0 44.0 0.0
202 '90' 0.033 2287500.0 44.0 0.0
203 '90' 0.033 2425000.0 44.0 0.0
204 '90' 0.033 2562500.0 44.0 0.0
205 '90' 0.033 2837500.0 44.0 0.0
206 '90' 0.033 2975000.0 44.0 0.0
207 '90' 0.033 3112500.0 44.0 0.0
208 '90' 0.033 3250000.0 44.0 0.0
209 '90' 0.033 3387500.0 44.0 0.0
210 '90' 0.033 3525000.0 44.0 0.0
211 '90' 0.033 3662500.0 44.0 0.0
212 '90' 0.033 3800000.0 44.0 0.0
213 '90' 0.033 2700000.0 42.0 0.0
214 '90' 0.033 2700000.0 42.25 0.0
215 '90' 0.033 2700000.0 42.5 0.0
216 '90' 0.033 2700000.0 42.75 0.0
217 '90' 0.033 2700000.0 43.0 0.0
218 '90' 0.033 2700000.0 43.25 0.0
219 '90' 0.033 2700000.0 43.5 0.0
220 '90' 0.033 2700000.0 43.75 0.0
221 '90' 0.033 2700000.0 44.25 0.0
222 '90' 0.033 2700000.0 44.5 0.0
223 '90' 0.033 2700000.0 44.75 0.0
